2020-04-08 14:33:07,378 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@4b33e03f: startup date [Wed Apr 08 14:33:07 CST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2020-04-08 14:33:08,721 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\LINx_x\Desktop\apache-activemq-5.15.12\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2020-04-08 14:33:08,862 | INFO  | PListStore:[C:\Users\LINx_x\Desktop\apache-activemq-5.15.12\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2020-04-08 14:33:09,084 | INFO  | Apache ActiveMQ 5.15.12 (localhost, ID:DESKTOP-E9DQKSK-52854-1586327588874-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2020-04-08 14:33:09,109 | INFO  | Listening for connections at: tcp://DESKTOP-E9DQKSK:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-04-08 14:33:09,110 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-04-08 14:33:09,114 | INFO  | Listening for connections at: amqp://DESKTOP-E9DQKSK:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-04-08 14:33:09,116 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-04-08 14:33:09,123 | INFO  | Listening for connections at: stomp://DESKTOP-E9DQKSK:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-04-08 14:33:09,126 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-04-08 14:33:09,131 | INFO  | Listening for connections at: mqtt://DESKTOP-E9DQKSK:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-04-08 14:33:09,133 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-04-08 14:33:09,156 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
