INFO  - 2020-03-09 13:25:20.683; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2020-03-09 13:25:20.710; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: C:/Users/LINx_x/Desktop/solr/SolrHome
INFO  - 2020-03-09 13:25:20.713; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:/Users/LINx_x/Desktop/solr/SolrHome\'
INFO  - 2020-03-09 13:25:21.005; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Users\LINx_x\Desktop\solr\SolrHome\solr.xml
INFO  - 2020-03-09 13:25:21.238; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\Users\LINx_x\Desktop\solr\SolrHome
INFO  - 2020-03-09 13:25:21.249; org.apache.solr.core.CoreContainer; New CoreContainer 487936041
INFO  - 2020-03-09 13:25:21.250; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=C:/Users/LINx_x/Desktop/solr/SolrHome\]
INFO  - 2020-03-09 13:25:21.282; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2020-03-09 13:25:21.283; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2020-03-09 13:25:21.289; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2020-03-09 13:25:21.290; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2020-03-09 13:25:21.291; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2020-03-09 13:25:21.292; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2020-03-09 13:25:21.293; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2020-03-09 13:25:21.295; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2020-03-09 13:25:21.296; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
